City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
bengkulu,-3.8004,102.2655,30.48,61,1,2.78,ID,1613361858
georgetown,5.4112,100.3354,31.0,48,20,3.09,MY,1613361535
miri,4.4148,114.0089,28.0,78,40,3.09,MY,1613361858
albany,42.6001,-73.9662,-4.44,59,100,1.72,US,1613361618
lata,40.1629,-8.3327,13.33,77,91,2.68,PT,1613361859
victoria,22.2855,114.1577,26.67,53,7,2.68,HK,1613361782
avarua,-21.2078,-159.775,29.0,70,86,2.06,CK,1613361859
faanui,-16.4833,-151.75,27.87,72,73,4.01,PF,1613361859
yellowknife,62.456,-114.3525,-22.78,77,1,3.6,CA,1613361609
harrai,22.6167,79.2167,26.58,22,0,1.56,IN,1613361860
port alfred,-33.5906,26.891,19.44,95,100,3.13,ZA,1613361860
karratha,-20.7377,116.8463,31.39,49,12,4.06,AU,1613361860
beloha,-25.1667,45.05,24.25,73,100,4.03,MG,1613361860
luderitz,-26.6481,15.1594,18.44,71,0,9.1,NA,1613361860
hithadhoo,-0.6,73.0833,28.2,74,22,3.63,MV,1613361861
busselton,-33.65,115.3333,33.33,34,85,1.79,AU,1613361803
rikitea,-23.1203,-134.9692,26.48,77,76,7.2,PF,1613361861
hofn,64.2539,-15.2082,5.39,94,100,4.04,IS,1613361861
arraial do cabo,-22.9661,-42.0278,24.31,89,97,5.91,BR,1613361608
punta arenas,-53.15,-70.9167,11.0,62,90,9.77,CL,1613361861
kamyshevatskaya,46.4132,37.9563,-6.12,91,95,2.62,RU,1613361862
aljezur,37.3191,-8.8033,13.47,77,55,9.51,PT,1613361862
faya,18.3851,42.4509,14.0,66,0,0.52,SA,1613361862
vaini,-21.2,-175.2,30.0,74,20,3.09,TO,1613361862
baculin,7.4525,126.5842,28.94,71,31,3.53,PH,1613361862
mataura,-46.1927,168.8643,16.11,71,68,5.36,NZ,1613361862
tongren,27.7172,109.1853,12.79,86,98,2.12,CN,1613361863
vallenar,-28.5708,-70.7581,15.84,71,0,0.65,CL,1613361863
cherskiy,68.75,161.3,-20.43,91,94,1.1,RU,1613361863
geraldton,-28.7667,114.6,29.0,54,0,5.66,AU,1613361687
chokurdakh,70.6333,147.9167,-21.34,90,100,4.63,RU,1613361863
nikolskoye,59.7035,30.7861,-17.78,77,40,3.0,RU,1613361864
kaitangata,-46.2817,169.8464,15.56,73,87,6.71,NZ,1613361864
